id,hex_id,name
kHhCUNa1Y9)2,32B445DE62060BF2,Ngx web server
hs6IJ9ruZDDE,486D525363E338D3,R Studio
pN2uXGLxdvsj,E025542167EDB76E,Apache Tiles
jWLalfSgTvvP,9158CA6F5DA9679E,nevisAuth 4.23.x
AiV3rV18fHM2,0DFB17F569200964,SkyBow
ha0litBUYD9K,BC09BDEC62785093,Banana
6XBzyW)sTnW8,F4B8F83C5DDB220C,PostFix
IvqOMcOgT9c6,634E89965DA91A62,.NET 3.5
QXCPbUcgVXQS,64C867A55FAA71A8,Pythagoras 3.3
4nEBa4JFUHDQ,2CEC31245E3D68D4,ASP.NET Core
Anbuvb)uSjFO,E25CF9795CE360FB,Apache Tomcat 9.102
NG4UKdEBXrAP,7844E9D4612C64AD,Microsoft Windows Server
xvqONcOgTbu6,634E89975DA91B89,Proprietary Database
SwqOPcOgTPQ7,634E89995DA91DA6,Proprietary Development Language
T69zvfF9WHPZ,F491FA7960248D94,Cassandra
Cd1yz3ldT5j2,F019F0FD5D9E0AD1,Avaya - Avaya Contact Recorder (ACR)
c4qIN)KKUjaU,4B414FD75E517A4B,Alemba Service Manager
Hpbu2c)uSHNP,E25CF9825CE36574,Oracle Business Intelligence
hj8un6UdTjKA,E08BE1B15D9D294B,Avaya - Work Force Optimization (WFO)
5RySVmujVz4V,73C68C1F5FB77C4F,Fractal 5.1
snbu1c)uSfHP,E25CF9815CE3651A,WebSphere Application Server
S5N0paXMa5xB,01711933645A2FB1,OS Version : 3.10.0-1160.88.1.e17.x86_64
tvw3(WX8cbsS,0FAE183E66227369,amcharts
f6qI6FLKUPzV,4B4153C65E517FD6,Active Directory
Mpbu0c)uSn7P,E25CF9805CE3647C,Splunk Enterprise
H0VQhr6edr8J,69F06D6B67A04C8D,Constellation
)1VQ)q6edT2J,69F06D3F67A04C27,Elastic Search
Ynbuvb)uS9HO,E25CF9795CE36112,SQL Performance for DB2 v12.1
E2VQ4s6ed5FJ,69F06D8467A04CF1,Hazelcast
04(NQPd0XfrC,5FE1765A6102335A,Amazon S3
YlExSgKnZjgK,ECEB4A9C63C552AB,Pega 8
5Jr2SmWtUnhH,0B540C1C5EDE46BC,Test
UL2uqFLxdTmj,E02553F467EDB707,Angular 6
vmbu1c)uSvDP,E25CF9815CE364DE,UC4
hi8um6UdTnGA,E08BE1B05D9D290C,Avaya - Avaya Communication Manager (ACM)
ipbu0c)uS99P,E25CF9805CE36492,Storage IBM Spectrum
Ij8un6UdT9JA,E08BE1B15D9D2932,Avaya - Interactive Voice Responder (IVR)
Snbuzb)uSPmO,E25CF97D5CE36306,Microsoft Exchange Server
Xj8un6UdT5KA,E08BE1B15D9D2941,Avaya - Proactive Outreach Manager (POM)
avqOMcOgTHd6,634E89965DA91A74,ABAP
3eCYPphhT9td,88CABCD95DAE9F72,SAP Fiori
peCYRohhT5kd,88CABC9B5DAE9EE1,SAP HCM
Ymbu3c)uSHSP,E25CF9835CE365C4,SAP S/4HANA
olcEb64GXbNJ,3A6B41A561404D79,Postgre SQL v11
NfSJLCrnV5Q4,4DCA53155FC711A1,Citrix Netscaler
YQlbZ5BuVXx2,96F6B1635FE00BB8,Unify OpenScape Voice
Fg7z6tdVYnWy,F47A7DC6627EF20C,FileMaker v18
opbuwb)uS5QO,E25CF97A5CE361A1,Citrix Virtual Apps and Desktops
vRlb45BuVvo2,96F6B1445FE00B2E,Unify OpenScape Xpert
aKqAVptfcjNq,2B457CDF66A7D17B,Google CloudSQL
9LqAwGsfcLQY,2B45643A66A789A5,Google GKE
Gmbu3c)uS9RP,E25CF9835CE365B2,Bottomline GT Suite
3hadM8U8ZfVP,9E4AE216632165FA,Hyperscience
0WLakfSgTDdP,9158CA6E5DA96673,Ignite 2.x
HxUgcq((cbNJ,A9EEED2666FB4D79,Java JMS
Ea6ZoPvsTfx7,8C6996725DDB1FBA,.NET 4.0
HvqONcOgTzr6,634E89975DA91B5F,Cobol CICS
pmbuvb)uSHEO,E25CF9795CE360E4,AIX
ambu0c)uSfCP,E25CF9805CE364CA,TSM
Npbu(b)uS1uO,E25CF97E5CE36380,OpenLDAP
uF2sp)05WLaG,D8230FF360144245,KeyDB (Redis)
5Y744qaTT1Kc,10784D045D769940,Spazio MFT/s
YZLalfSgTDrP,9158CA6F5DA96753,Backbase 5
MXLajfSgTnCP,9158CA6D5DA964CC,ASP.NET WebAPI
8bDE0POQc1YW,38D9864066698220,MariaDB
kuqOOcOgTbJ7,634E89985DA91D39,Oracle 11g R2
xxqOPcOgTHW7,634E89995DA91E04,VisualAge
Vpbu2c)uS9OP,E25CF9825CE36582,Inxmail Professional
wwqOMcOgTfi6,634E89965DA91ACA,Assembler
DC2sDe15WD3H,D8231A0D60144433,Kestrel
e4qIJrLKUPxX,4B415D535E5187B6,Microsoft Windows 10
5XLaifSgTnBP,9158CA6C5DA964BC,ASP.NET MVC
0b6ZoPvsTn(7,8C6996725DDB1FEC,ASP.NET 3.5
awqONcOgT9x6,634E89975DA91BB2,Delphi
5pUZUVf2Wja8,8DEC97DE600A224B,Qlik Sense Enterprise
1WLalfSgT9tP,9158CA6F5DA96772,Adobe Analytics
Y7na04xaWzoQ,9311B10060936B2F,Anaconda
buqOPcOgTvY7,634E89995DA91E2E,Visual Basic 6
ri8um6UdTPHA,E08BE1B05D9D2916,Avaya - Avaya Proactive Contact Center (APC)
FwqOMcOgTzf6,634E89965DA91A9F,Apache Derby Database
36MegZjxb157,A161D8EA65EE1C50,Spring Cloud Gateway
cXLajfSgTnDP,9158CA6D5DA964DC,AngularJS 1.5.8
ePsv7ZmbTfXF,E76608C75D973E1A,Ghibli Data Watcher
yWLalfSgTrwP,9158CA6F5DA967AD,Selenium
xobu2c)uSvLP,E25CF9825CE3655E,Ghibli Next MFT
Nnbuvb)uSTGO,E25CF9795CE36107,Apache HTTP server
5mbuub)uSTBO,E25CF9785CE360B7,One Identity Manager
5nbuzb)uS1lO,E25CF97D5CE362F0,McAfee Web Gateway
5wqOPcOgTzO7,634E89995DA91D8F,PowerBuilder
0YLamfSgTzEQ,9158CA705DA968EF,Angular 7
HBNQHBCCXfAA,6972C2D1613028AA,Test Data Manager (TDM) 4.02
l4PYzm82T1y9,89918C3D5D0827C0,Kubernetes 1.10
XjJniYCXUzAN,C53BC8AC5E845CAF,Kubernetes 1.16
1mbu0c)uSTAP,E25CF9805CE364A7,Suite Spazio MFT (Mananged File Transfer)
9pbu0c)uSz6P,E25CF9805CE3646F,Apache SOLR
AXLakfSgTrhP,9158CA6E5DA966BD,Hibernate 5.x
yWLakfSgTzgP,9158CA6E5DA966AF,Spring Data JPA 2.x
gYLamfSgTb1Q,9158CA705DA96819,Pega 7.3
9nbu)b)uS5)O,E25CF97F5CE363F1,Red Hat Enterprise Linux
pobu(b)uSnrO,E25CF97E5CE3635C,NimBUS
vnbu)b)uS12P,E25CF97F5CE36420,SAP Basis
9xqOPcOgTDT7,634E89995DA91DD3,SAP HANA Database
kobuyb)uSfbO,E25CF97C5CE3625A,F-Secure v14
Dmbu0c)uSDBP,E25CF9805CE364B3,SUSE Enterprise Linux
iWLajfSgT5QP,9158CA6D5DA965A1,Antlr 4.6.4
