application_system_id;application_system_hex_id;application_system_name;application_system_current_state;application_system_diagram_hex_id;application_system_diagram_description;interaction_id;interaction_name;from_application_id;from_application_hex_id;from_application_name;to_application_id;to_application_hex_id;to_application_name;middleware;middleware_id_0;middleware_name_0;middleware_id_1;middleware_name_1;middleware_id_2;middleware_name_2;middleware_id_3;middleware_name_3;interface_type;pan;pci_card_holder;privacy_flag
daSjJWhEU1WH;B5C9B8135E3A4600;Master Finance;Production;B5C9B81C5E3A4659;Application System Structure Diagram;B5C9D8FA5E3ADA1E;Garanzie CC;60WAM9taT5(G;B5C9B8385E3A47DF;Master Finance;D5TQnuceSTpF;C69ACCBB5F1143F7;CCMS;No;;;;;;;;;MESSAGE QUEUE;No;No;Yes
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;885D18E8645DDC6F;AQ - Translate PINBlock (RSA->ZPK);uK08C1ZeSL4L;486D6A4463E343B6;Thales PayShield HSM;bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;WS TCP/IP;Yes;Yes;No
QEyZajkLYXGE;8FC3EB6462563908;Holistic Pay - Person Registry;Production;8FC3EB6E625639E5;Application System Structure Diagram;F47A002F627E6C05;Add/Update Super Person link;oUSVnNuiVjy6;8FC3EBA462563D0C;Apache Kafka (onpremise);D5TQnuceSTpF;8FC3EC9E62564063;CCMS;No;;;;;;;;;MESSAGE QUEUE;No;No;Yes
f3)VxAw5c5rJ;7FF0A2BB66174F51;Partner Collaboration Tool (PCT);Production;7FF0A2EC66176BBB;Application System Structure Diagram;A15221856402A6D6;Add Person;D5TQnuceSTpF;7FF0A2BC66175077;CCMS;QjExkLKnZrrI;7FF0A2BC661750B7;Partner Collaboration Tool (PCT) - User Management;No;;;;;;;;;WS REST;No;No;Yes
pPSaz5RMWrFE;91C6B17D605938FD;Cornèr Public Sites;Production;DABAE8CC60592EC4;Cornèr Public Sites Diagram;6E9A80B65E6F6907;Create/Update CCMS cases;D5TQnuceSTpF;64BEC431675170F3;CCMS;TVYFFFKhTjHG;FFF92552675097DD;ESB - Pega Int Container;No;;;;;;;;;MESSAGE QUEUE;No;No;Yes
UNycFuPhTz8E;9BC59E0F5DAD388F;ZoomTool;Production;9BC59E155DAD38EA;Application System Structure Diagram;08704FB4683020D9;ESB ZoomTool WinWin -> CCMS;D5TQnuceSTpF;A6E1AA825DAD7B6D;CCMS;rLycFnPhTr(C;A6E1A9D35DAD78F6;ESB - ZoomTool WinWin;No;;;;;;;;;WS REST;No;No;Yes
pPSaz5RMWrFE;91C6B17D605938FD;Cornèr Public Sites;Production;DABAE8CC60592EC4;Cornèr Public Sites Diagram;435344335ED172B7;ESB Pega Int -> CCMS;D5TQnuceSTpF;64BEC431675170F3;CCMS;TVYFFFKhTjHG;FFF92552675097DD;ESB - Pega Int Container;No;;;;;;;;;WS REST;No;No;Yes
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;92E4E02864058E17;Network Management (0800) [TCP/IP];w5TQUyceSL7G;486D6A4263E342DF;Mastercard MIP;bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;WS TCP/IP;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;B427ED1163DC2F81;Instant Payment Screening Service;B1tprg3jZLNa;486D6A3F63E34083;Pythagoras IPSS;bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;WS SOAP;Yes;No;Yes
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;92E4EF276405CCAF;DCI Transaction for Bravofly;uHka9xU1aTno;92E4EECB6405CC16;Bravofly;D5TQnuceSTpF;ECEB275263C543F8;CCMS;No;;;;;;;;;DATA FILE;No;No;No
ZncXpreAUPuO;866C8D735E2A6386;Dynacos Payments;Production;866C8D785E2A63D9;Application System Structure Diagram;C69AC8AF5F1137C6;Notifica esecuzione pagamento (con dettagli contabili);D5TQnuceSTpF;866C8E8F5E2A69F3;CCMS;z3WAE9taTLkF;866C8DBB5E2A687F;Dynacos Payments;No;;;;;;;;;MESSAGE QUEUE;No;No;Yes
pPSaz5RMWrFE;91C6B17D605938FD;Cornèr Public Sites;Production;51395D0E692928DF;Application System Structure Diagram;18DC19B2678A5BFD;CCMS.UpdatePerson (EEP);D5TQnuceSTpF;C4091959651C0458;CCMS;L3gMjrdfa1wH;F8356FD065008939;PEGA - Onboarding Service;No;;;;;;;;;WS REST;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;57BCBAC165016AA9;DeleteTRXPAN;bjx2sYngSneF;486D6A4163E341DD;Authentic;D5TQnuceSTpF;486D6A4263E34289;CCMS;No;;;;;;;;;MESSAGE QUEUE;No;No;No
2nh3cIKwXvY5;0EBC44A661E9162E;iCornèr & myOS & Card24 Private Site;Production;0EBC44D261E93CB5;Application System Structure Diagram-2;E1A4E824619D888B;ESB COP2 -> CCMS;D5TQnuceSTpF;0EBC44A061E9106C;CCMS;WY74HrZTT9LP;0EBC449E61E90E7C;ESB - iCornèr COP2 Container;No;;;;;;;;;WS REST;No;No;Yes
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;54CCD88F66614272;Card Payment Accounting;D5TQnuceSTpF;ECEB275263C543F8;CCMS;N)Z8BVqKbbu8;5A9C765066D56D45;Instant Payment Services;No;;;;;;;;;MESSAGE QUEUE;No;No;Yes
W2C5rkYUUfhM;14C02BB55E7A5ABA;Partner Card Services (PCS);Production;14C02BBC5E7A5B10;Application System Structure Diagram;3619A225643ECA0A;ESB -> CCMS WS2I12 [WS REST];D5TQnuceSTpF;14C02C1C5E7A5E45;CCMS;)L08F6ZeSTKL;14C02BD35E7A5C9B;Partner Card Services (PCS);No;;;;;;;;;WS REST;Yes;No;No
cs((Nq6pX5EB;FBED6D1761CC2CE1;GT Suite Bottomline;Production;FBED6D4761CC60F7;Application System Structure Diagram;571E6E426050583F;Ibanplus (decodifica per iban);D5TQnuceSTpF;FBED6D1561CC2B3B;CCMS;BvnLZi6KWPaK;FBED6D1161CC25F7;SWIFTREF;No;;;;;;;;;DATA FILE;No;No;No
KIO(fdsmcLqL;F98469E966C35745;iCornèr Card24 MyOnlineServices App;Production;F9846AA066C39CF1;iCornèr Card24 MyOnlineServices App Diagram;0AF6639162D16063;ico Bank Api - CCMS;D5TQnuceSTpF;F98469E266C351BA;CCMS;BFuuN1H3Ybc9;F98469E466C352C8;iCornèr Bank Services;No;;;;;;;;;WS REST;Yes;Yes;Yes
Gf7rJromXLHI;D47A2D5361C34915;Loyalty Cornèr Suite (LCS);Production;5ED2AF8861E698CE;Application System Structure Diagram;5ED2C5FE61E6B5F3;LCS Burn/earn advice [FILE];D5TQnuceSTpF;5ED2B34361E69C10;CCMS;9Kn9pWYFVrC2;5ED2B52B61E69C74;LCS Loyalty Cornèr Suite;No;;;;;;;;;DATA FILE;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;83C787635FD72E07;Card Status Update [MQ];bjx2sYngSneF;486D6A4163E341DD;Authentic;D5TQnuceSTpF;486D6A4263E34289;CCMS;No;;;;;;;;;MESSAGE QUEUE;No;No;No
AnmnOkEsZr8B;C70CEB9863D82C8D;Holistic Pay - Payment Gateway;Production;C70CEC0263D871EF;Holistic Pay Payment Gateway Diagram;EADFF73661F767DA;Set Risk limits;D5TQnuceSTpF;C70CEB9763D82BDE;CCMS;OBdLcfAoWjNN;C70CEB9463D82AB1;Holistic Pay - Payment Gateway for Debit;No;;;;;;;;;WS REST;No;No;No
KIO(fdsmcLqL;F98469E966C35745;iCornèr Card24 MyOnlineServices App;Production;F9846AA066C39CF1;iCornèr Card24 MyOnlineServices App Diagram;6CDA80FE672C56A3;card-tokenizers->aux;bjx2sYngSneF;26F336F2672B7A17;Authentic;A8gQRu6AdLQG;26F33694672B782D;iCornèr Card Tokenizers;No;;;;;;;;;WS SOAP;No;No;No
PzlCdNZfbbBI;32FF35E765A648B9;Clanq;Production;32FF366365A68C8C;Clanq Diagram;9E07DAB65D63CDA4;CCMS.SetCardStatus;D5TQnuceSTpF;32FF35E565A6460C;CCMS;6(H9MK4LYbFE;32FF35E765A6482A;Cornèr Partner Integration (CPI);No;;;;;;;;;WS REST;No;No;No
PzlCdNZfbbBI;32FF35E765A648B9;Clanq;Production;32FF366365A68C8C;Clanq Diagram;62C8961F644B1584;Event CARD CREATED;Z0WAM9taTv)G;32FF35E665A64694;Banking Services Layer (BSL);D5TQnuceSTpF;32FF35E565A6460C;CCMS;No;;;;;;;;;MESSAGE QUEUE;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;92E4E02864058E17;Network Management (0800) [TCP/IP];MhIZ0lvHSXG6;486D6A4463E34437;Visa EAS (EAS-C);bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;WS TCP/IP;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;92E4E18E64058FA8;Exception File Update (0302) [TCP/IP];MhIZ0lvHSXG6;486D6A4463E34437;Visa EAS (EAS-C);bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;WS TCP/IP;Yes;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;4F5D68935FA94C57;Get info for card checks and challenge steps [REST];D5TQnuceSTpF;ECEB275263C543F8;CCMS;DI67vt1pSHtM;7DC9B0CF64F16E28;ESB - 3DSecure Container;No;;;;;;;;;WS REST;Yes;No;Yes
I8lJyohcVnVP;4EF2BCBC5F9A65FC;Debit (Legal dispute);Production;4EF2BCD15F9A7B7D;Debit (Legal dispute) Diagram;BBD1E81E5DBA9A6B;CCMS -> Debit (FILE);u49XZXveSHPb;4EF2BC9B5F9A6262;Debit;D5TQnuceSTpF;4EF2BCB75F9A656E;CCMS;No;;;;;;;;;DATA FILE;Yes;No;Yes
PzlCdNZfbbBI;32FF35E765A648B9;Clanq;Production;32FF366365A68C8C;Clanq Diagram;0171502E645A52B7;Card Lifecycle event;wzDVD9uVU9L8;32FF35E365A6447B;CNS Delivery;D5TQnuceSTpF;32FF35E565A6460C;CCMS;No;;;;;;;;;MESSAGE QUEUE;No;No;No
HBjNmhfvXLvE;5ED29AF061E63B95;Customer Care POCI (PEGA);Production;5ED29B0A61E653A3;Application System Structure Diagram-2;435344335ED172B7;ESB Pega Int -> CCMS;D5TQnuceSTpF;5ED29AEA61E63612;CCMS;TVYFFFKhTjHG;5ED29AEC61E637BB;ESB - Pega Int Container;No;;;;;;;;;WS REST;No;No;Yes
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;33A4641A5FD7A817;Account Enquiry [WS];bjx2sYngSneF;486D6A4163E341DD;Authentic;I7TQm0deSbRG;486D6A4163E34233;Authorization GUI;No;;;;;;;;;WS REST;No;No;No
Gh7rDRrmXLaz;D47A56CD61C3F645;Customer Notification Services (CNS);Production;D47B56FE61C30E0A;Customer Notification Services Diagram;2C763A6461CB5119;CPS Read card details, agreement details, contract details;D5TQnuceSTpF;D47A561D61C3F14A;CCMS;jQ7BZZpoXTNJ;2C7638E561CB4EB0;CNS CPS Customer Preferences;No;;;;;;;;;WS REST;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;49B064A1622B2F05;Debit File Acquisition;D5TQnuceSTpF;ECEB275263C543F8;CCMS;gSRQEUNxXvNE;7DC9996464F12A29;Debit Bank (offline mode);No;;;;;;;;;DATA FILE;No;No;Yes
KIO(fdsmcLqL;F98469E966C35745;iCornèr Card24 MyOnlineServices App;Production;F9846AA066C39CF1;iCornèr Card24 MyOnlineServices App Diagram;F42D1AE465CA6D82;3ds->ccms;D5TQnuceSTpF;F98469E266C351BA;CCMS;HIH1FO5VbnhT;F98469E066C34F8C;iCornèr card3ds;No;;;;;;;;;WS REST;No;No;No
Et6I5fsuZ1EH;486D6A4563E344E0;Authorization and Fraud Prevention;Production;486D6A8163E36B35;Authorization and Fraud Prevention Diagram;83C7896D5FD73F0C;AGGA Output [FILE];D5TQnuceSTpF;486D6A4263E34289;CCMS;bjx2sYngSneF;486D6A4163E341DD;Authentic;No;;;;;;;;;DATA FILE;No;No;No
0jEx5SInZHTG;ECEB270563C541D4;CCMS;Production;ECEB270C63C5427A;Application System Structure Diagram;AA44F468651F980E;Consume CCMS events;D5TQnuceSTpF;ECEB275263C543F8;CCMS;oUSVnNuiVjy6;AA44F421651F9674;Apache Kafka (onpremise);No;;;;;;;;;MESSAGE QUEUE;No;No;Yes
PzlCdNZfbbBI;32FF35E765A648B9;Clanq;Production;32FF366365A68C8C;Clanq Diagram;C28BC460650A2DF6;Update Event Case (REST);wM08r7ZeSjXL;32FF35E765A647DA;ESB - CCMS Container;D5TQnuceSTpF;32FF35E565A6460C;CCMS;No;;;;;;;;;WS REST;No;No;No
Gf7rJromXLHI;D47A2D5361C34915;Loyalty Cornèr Suite (LCS);Production;5ED2AF8861E698CE;Application System Structure Diagram;ABB3BB1161E74273;Rewardshop emails/Letters [MQ];D5TQnuceSTpF;5ED2D43261E6D269;CCMS;9Kn9pWYFVrC2;5ED2B52B61E69C74;LCS Loyalty Cornèr Suite;No;;;;;;;;;MESSAGE QUEUE;No;No;No
