id;hex_id;name;environment;cluster_name;domain;fqdn;pci_tier;vlan
2UEDaf3MYPV6;34E73A64625819F6;ocmrXXXXXXXXer.local;prod;ocmrXXXXXXXX;prodXXXXXXXX;ocmrXXXXXXXXer.local;1;1XX8
3PU)cQAeZb02;FDE6A6A663A00809;adfsXXXXXXXXer.tech;ittest;adfsXXXXXXXX;moonXXXXXXXX;adfsXXXXXXXXer.tech;3;1XX2
GII5kK1IaDGP;1524152E64486503;sw-pXXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-pXXXXXXXX;3;NXX
w9QLyMr)aTDE;55A255BC64FF38D7;sjp-XXXXXXXXrv.cloud;prod;sap_XXXXXXXX;prodXXXXXXXX;sjp-XXXXXXXXrv.cloud;2;NXX
CApkAjhhb1t5;BB32BB4A65AE1770;scr0XXXXXXXX;prod;NDXXXXXXXX;prodXXXXXXXX;scr0XXXXXXXX;3;5XX
mUEDbf3MY9Y6;34E73A6562581A22;wp0bXXXXXXXXner.group;prod;NDXXXXXXXX;greeXXXXXXXX;wp0bXXXXXXXXner.group;3;3XX7
742(eWVeZXfC;F821F82863A13298;qscaXXXXXXXXner.local;prod;qscaXXXXXXXX;prodXXXXXXXX;qscaXXXXXXXXner.local;2;1XX2
VII5kK1Ia9HP;1524152E64486512;sw-pXXXXXXXX;prod;NDXXXXXXXX;NDXXXXXXXX;sw-pXXXXXXXX;3;NXX
B9QLyMr)aXAE;55A255BC64FF38A8;smp-XXXXXXXXrv.cloud;prod;sap_XXXXXXXX;prodXXXXXXXX;smp-XXXXXXXXrv.cloud;2;NXX
0ApkAjhhbHs5;BB32BB4A65AE1764;scr0XXXXXXXX;prod;NDXXXXXXXX;prodXXXXXXXX;scr0XXXXXXXX;3;5XX
ASEDdf3MYfd6;34E73A6762581A7A;dkrdXXXXXXXXerbanca.local;prep;dkrdXXXXXXXX;prepXXXXXXXX;dkrdXXXXXXXXerbanca.local;1;2XX0
372(eWVeZHbC;F821F82863A13254;qscaXXXXXXXXner.local;prod;qscaXXXXXXXX;prodXXXXXXXX;qscaXXXXXXXXner.local;2;1XX2
