application_id;application_hex_id;application_name;portfolio_id;portfolio_hex_id;portfolio_name
D5TQnuceSTpF;69D16E315CA23F37;CCMS;A4C42A676348861B;A4C42A676348861B;2.2 - GILC External Services
D5TQnuceSTpF;69D16E315CA23F37;CCMS;0D260F365ED14A84;0D260F365ED14A84;1.1 - BANK Main Services
bjx2sYngSneF;0BBB18B65CAB3E8C;Authentic;9FB6C4275FFE83B2;9FB6C4275FFE83B2;3.2 - SHARED Corporate Services
bjx2sYngSneF;0BBB18B65CAB3E8C;Authentic;DDD7DDEB62326567;DDD7DDEB62326567;1.2 - BANK Market Trading Platforms & Information Providers
